,double,single,triple
2018-01-18 09:34:01,-0.0569435636942855,0.004089552746788312,0.06159207895996421
2018-01-18 09:34:11,-0.056800796441047324,0.004063198547044595,0.061786936703388216
2018-01-18 09:34:21,-0.05665696424318393,0.004036667472551692,0.06197170629709583
2018-01-18 09:34:31,-0.05651216764664585,0.004009937512627018,0.062147024556751244
2018-01-18 09:34:41,-0.05636643662842538,0.003983006664769767,0.06231354526816741
2018-01-18 09:34:51,-0.056219840620971635,0.003955884830501344,0.06246977299609271
2018-01-18 09:35:01,-0.05607276162609624,0.003928537699435677,0.062614494911553
2018-01-18 09:35:11,-0.0559250968837252,0.0039009902031962064,0.06292043452314448
2018-01-18 09:35:21,-0.055776834281500286,0.0038732623860026696,0.06304044350000784
2018-01-18 09:35:31,-0.05566760144108832,0.0038453825695751484,0.06315097237698739
2018-01-18 09:35:41,-0.05551907893109402,0.0038173332628008414,0.063249838852041
2018-01-18 09:35:51,-0.05537010782125979,0.003789156538174602,0.06333724424825508
2018-01-18 09:36:01,-0.05522090076670247,0.0037608569528381473,0.06341314882091771
2018-01-18 09:36:11,-0.055071497902395815,0.0037541283747351507,0.06347987176951865
2018-01-18 09:36:21,-0.05492220843335807,0.0037257039812226885,0.0635361861551265
2018-01-18 09:36:31,-0.054772957944428186,0.003697172453986478,0.06358188303007496
2018-01-18 09:36:41,-0.054623952537226524,0.003668506515154952,0.06361534599273228
2018-01-18 09:36:50,-0.054475260606740405,0.00363969385542935,0.06363680541072411
2018-01-18 09:37:02,-0.054326671890039174,0.003610714317134684,0.06364501268202036
2018-01-18 09:37:11,-0.054178534749480374,0.0035815441682923088,0.06363972032726366
2018-01-18 09:37:21,-0.05403073295745678,0.0035521571768705675,0.06362122214866596
2018-01-18 09:37:31,-0.053883439879962546,0.00352252404762876,0.0635890858661218
2018-01-18 09:37:41,-0.05378341878555733,0.0034926374459265637,0.06354280225020272
2018-01-18 09:37:52,-0.053637452772469146,0.003462490298347623,0.06348215118311828
2018-01-18 09:38:01,-0.05349228189272896,0.003432118616796308,0.06340813624268292
2018-01-18 09:38:11,-0.053347915244933056,0.003401537315512016,0.06332083430842125
2018-01-18 09:38:21,-0.05320432562112452,0.0033707674510213,0.06322166852173658
2018-01-18 09:38:31,-0.0530615370958372,0.003339793808448887,0.06311039243065811
2018-01-18 09:38:41,-0.0529196162724748,0.0033086125246757116,0.06298627183949718
2018-01-18 09:38:51,-0.05282678248322693,0.0032772327075073467,0.06284942434800868
2018-01-18 09:39:01,-0.05268669215365634,0.003245637010229063,0.06269951684942578
