,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-30 21:55:38,9954.779680356438,btc,10012.0,usd,2018-01-30,2018-01-30 21:55:38,1517338538.0,-0.011346769212664082,17227327.61498938,50947.24277505
2018-01-31 04:15:17,9816.461939513527,btc,9851.1,usd,2018-01-31,2018-01-31 04:15:17,1517361317.0,-0.013657320968081872,20733150.472275246,67626.55401929001
2018-01-31 11:31:27,10251.279498591917,btc,10258.0,usd,2018-01-31,2018-01-31 11:31:27,1517387487.0,-0.01252702021968387,19018156.53978672,72083.26527300997
2018-01-31 12:46:47,10062.010949359335,btc,10111.98208287,usd,2018-01-31,2018-01-31 12:46:47,1517392007.0,-0.010437870888896226,15848197.911091946,72251.46491103
2018-01-31 16:19:07,10316.354757270787,btc,10330.0,usd,2018-01-31,2018-01-31 16:19:07,1517404747.0,-0.0036899029345675437,5609121.834842137,73258.74535540999
2018-01-31 19:24:08,9896.781899134336,btc,9932.9,usd,2018-01-31,2018-01-31 19:24:08,1517415848.0,-0.0011292489996709643,1723641.038608283,64729.16608577
2018-01-31 21:12:47,10046.090296896757,btc,10060.0,usd,2018-01-31,2018-01-31 21:12:47,1517422367.0,-0.00041451047022615433,639094.3597425187,62364.42469638
2018-01-31 22:30:57,10003.152882826917,btc,10013.0,usd,2018-01-31,2018-01-31 22:30:57,1517427057.0,-0.0010962700042087608,1673589.0331361738,51337.155273000004
2018-02-01 00:52:27,10074.121134219984,btc,10070.0,usd,2018-02-01,2018-02-01 00:52:27,1517435547.0,-0.00034370036676597594,531639.3878322107,46268.71552794
2018-02-01 02:24:37,10134.933565689664,btc,10139.0,usd,2018-02-01,2018-02-01 02:24:37,1517441077.0,0.0009051051627788191,-1363305.7615527979,44431.24877121
2018-02-01 04:19:57,10213.095469414338,btc,10229.0,usd,2018-02-01,2018-02-01 04:19:57,1517447997.0,0.0013954290158919808,-2107319.1400396107,36075.16069269
2018-02-01 04:59:37,10188.435483870951,btc,10211.0,usd,2018-02-01,2018-02-01 04:59:37,1517450377.0,0.0011964637263465877,-1805402.225505817,33937.92922145
