,avg,base,close,in_close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-02-05 21:28:36,7026.892440546782,btc,7030.0,7092.5,usd,2018-02-05,2018-02-05 21:28:36,1517855316.0,-0.01222695269662465,18566149.440781474,114871.27253909
2018-02-05 23:07:46,6696.456866785977,btc,6747.9,7070.0,usd,2018-02-05,2018-02-05 23:07:46,1517861266.0,-0.014577004212103482,22133080.409047965,121041.43076536
2018-02-06 00:22:17,7073.224469429201,btc,7147.0,7150.0,usd,2018-02-06,2018-02-06 00:22:17,1517865737.0,-0.016417380256324315,24926463.787897795,122752.14283288
2018-02-06 02:14:16,6816.965240367107,btc,6833.6,6965.4,usd,2018-02-06,2018-02-06 02:14:16,1517872456.0,-0.01687209386950021,25616666.061805643,128182.83058615
2018-02-06 05:35:18,6421.90948448178,btc,6433.0,6582.1,usd,2018-02-06,2018-02-06 05:35:18,1517884518.0,-0.01869657592201905,28385951.22103627,141911.3104579
2018-02-06 06:45:17,6235.571817593072,btc,6240.0,6391.0,usd,2018-02-06,2018-02-06 06:45:17,1517888717.0,-0.020381371484022047,30943207.60764429,147758.18882828002
2018-02-06 09:57:49,6172.528823452591,btc,6168.7,6243.1,usd,2018-02-06,2018-02-06 09:57:49,1517900269.0,-0.021352123413496682,32416645.77563098,169956.09469344994
2018-02-06 11:07:09,6045.982258064525,btc,6063.1,6353.5,usd,2018-02-06,2018-02-06 11:07:09,1517904429.0,-0.02151194767721604,32659236.25700911,177024.82037337
2018-02-06 14:04:49,6456.421681565173,btc,6490.95322619,6526.8,usd,2018-02-06,2018-02-06 14:04:49,1517915089.0,-0.018245034435155048,27700532.383309096,192482.12968337
2018-02-06 17:42:40,6954.867738425816,btc,7039.3,7115.8,usd,2018-02-06,2018-02-06 17:42:40,1517928160.0,-0.010961494584450487,16645054.001660407,206203.77581336003
2018-02-06 19:52:30,7005.61914794533,btc,6995.3,7105.5,usd,2018-02-06,2018-02-06 19:52:30,1517935950.0,-0.004423024737925052,6720422.3100016825,213099.28367644
2018-02-06 20:53:50,6832.194977587915,btc,6839.2,6948.3,usd,2018-02-06,2018-02-06 20:53:50,1517939630.0,-0.0020918483652835355,3181941.913313376,213313.58503074
2018-02-07 01:26:30,7546.055023327429,btc,7600.0,7657.9,usd,2018-02-07,2018-02-07 01:26:30,1517955990.0,0.010937001078645543,-16594620.44415106,197824.16865061
2018-02-07 03:45:41,7478.424011407426,btc,7514.7,7538.0,usd,2018-02-07,2018-02-07 03:45:41,1517964341.0,0.017551606986437214,-26635099.15719872,192291.17721756003
2018-02-07 06:20:30,7300.027949072909,btc,7337.0,7392.8,usd,2018-02-07,2018-02-07 06:20:30,1517973630.0,0.020647966251959315,-31335221.845681395,183010.20054506004
2018-02-07 17:50:49,8132.585188205179,btc,8142.0,8227.8,usd,2018-02-07,2018-02-07 17:50:49,1518015049.0,0.011895221172904836,-18049022.49692976,132876.99079863998
2018-02-07 19:48:57,7997.306141810343,btc,8004.0,8032.9,usd,2018-02-07,2018-02-07 19:48:57,1518022137.0,0.012298034996161505,-18660490.217633784,121077.56313658
2018-02-07 23:40:09,8010.818445935673,btc,8039.9,8105.0,usd,2018-02-07,2018-02-07 23:40:09,1518036009.0,0.010520513645379698,-15962234.779552314,108400.15291056
2018-02-08 03:06:19,7584.979032258091,btc,7626.7,7689.5,usd,2018-02-08,2018-02-08 03:06:19,1518048379.0,0.009367491088421841,-14212030.00832009,106702.66105809002
2018-02-08 09:14:50,7967.587358069223,btc,7984.9,8031.3,usd,2018-02-08,2018-02-08 09:14:50,1518070490.0,0.0023635245616351504,-3579896.746034095,101906.36792499002
2018-02-08 19:36:30,8195.28212436083,btc,8197.0,8257.9,usd,2018-02-08,2018-02-08 19:36:30,1518107790.0,0.005511292382714093,-8358336.449848571,88580.28237185998
